Имя объекта;Тип объекта;Синоним;Файл
Справочник.ЗаписиКалендаряСотрудника;Справочник;Записи календаря співробітника;Справочник_ЗаписиКалендаряСотрудника.md
Справочник.ЗначенияСвойствОбъектов;Справочник;Додаткові значення;Справочник_ЗначенияСвойствОбъектов.md
Справочник.ЗначенияСвойствОбъектовИерархия;Справочник;Додаткові значення (ієрархія);Справочник_ЗначенияСвойствОбъектовИерархия.md
Справочник.ЗоныТарифыДоставки;Справочник;Зони/тарифи доставки;Справочник_ЗоныТарифыДоставки.md
Справочник.ИдентификаторыОбъектовМетаданных;Справочник;Ідентифікатори об`єктів метаданих;Справочник_ИдентификаторыОбъектовМетаданных.md
Справочник.ИдентификаторыОбъектовРасширений;Справочник;Ідентифікатори об`єктів розширень;Справочник_ИдентификаторыОбъектовРасширений.md
Справочник.ИнвентаризацияЗапасовПрисоединенныеФайлы;Справочник;Приєднані файли (Інвентаризація запасів);Справочник_ИнвентаризацияЗапасовПрисоединенныеФайлы.md
Справочник.ИнтервалыДоставки;Справочник;Інтервали доставки;Справочник_ИнтервалыДоставки.md
Справочник.ИнформационныеСсылкиДляФорм;Справочник;Інформаційні посилання для форм;Справочник_ИнформационныеСсылкиДляФорм.md
Справочник.ИсторияПроверкиИКорректировкиДанных;Справочник;Історія перевірки і коригування даних;Справочник_ИсторияПроверкиИКорректировкиДанных.md
Справочник.ИсторияПроверкиИКорректировкиДанныхПрисоединенныеФайлы;Справочник;Приєднані файли (Історія перевірки і коригування даних);Справочник_ИсторияПроверкиИКорректировкиДанныхПрисоединенныеФайлы.md
Справочник.ИсточникиПривлеченияПокупателей;Справочник;Джерела залучення;Справочник_ИсточникиПривлеченияПокупателей.md
Справочник.Календари;Справочник;Графіки роботи;Справочник_Календари.md
Справочник.КалендариСотрудников;Справочник;Календарі співробітників;Справочник_КалендариСотрудников.md
Справочник.Кассы;Справочник;Каси;Справочник_Кассы.md
Справочник.КассыККМ;Справочник;Каси ККМ;Справочник_КассыККМ.md
Справочник.КатегорииДоговоров;Справочник;Категорії договорів;Справочник_КатегорииДоговоров.md
Справочник.КатегорииНоменклатуры;Справочник;Категорії номенклатури;Справочник_КатегорииНоменклатуры.md
Справочник.КлассификаторЕдиницИзмерения;Справочник;Класифікатор одиниць виміру;Справочник_КлассификаторЕдиницИзмерения.md
Справочник.КлассификаторКОАТУУ;Справочник;Класифікатор КОАТУУ;Справочник_КлассификаторКОАТУУ.md
Справочник.КлассификаторКонтактов;Справочник;Класифікатор контактів;Справочник_КлассификаторКонтактов.md
Справочник.КлассификаторУКТВЭД;Справочник;Класифікатор кодів для ПН;Справочник_КлассификаторУКТВЭД.md
